"potentialBenefits","recommendationTypeId","learnMoreLink.Name","learnMoreLink.Url","publishedToAdvisor","aprlGuid","automationAvailable","description","publishedToLearn","recommendationControl","recommendationResourceType","longDescription","recommendationImpact","tags","pgVerified","recommendationMetadataState","automationAvailableReal"
"Improves outage management",,"Learn More","https://learn.microsoft.com/en-us/azure/azure-resource-manager/management/overview#resource-group-location-alignment","False","98bd7098-49d6-491b-86f1-b143d6b1a0ff","arg","Ensure Resource Group and its Resources are located in the same Region","False","Disaster Recovery","Microsoft.Resources/resourceGroups","Ensure resource locations align with their resource group to manage resources during regional outages. ARM stores resource data, which if in an unavailable region, could halt updates, rendering resources read-only.
","High",,"Verified","Active","arg"
"Enhances fault tolerance and uptime",,"Learn More","https://learn.microsoft.com/en-us/azure/well-architected/services/messaging/service-bus/reliability","False","20057905-262c-49fe-a9be-49f423afb359","arg","Enable Availability Zones for Service Bus namespaces","False","High Availability","Microsoft.ServiceBus/namespaces","Use Service Bus with zone redundancy for high availability. The Premium SKU supports availability zones, ensuring isolations within the same region. It manages 3 copies of the messaging store, kept in sync. 
","High",,"Preview","Active","arg"
"Enhances reliability & uptime",,"Learn More","https://learn.microsoft.com/azure/azure-signalr/availability-zones","False","6a8b3db9-5773-413a-a127-4f7032f34bbd","arg","Enable zone redundancy for SignalR","False","High Availability","Microsoft.SignalRService/SignalR","Use SignalR with zone redundancy for production to improve uptime. This feature, available in the Premium tier, is activated upon creating or upgrading to Premium. Standard can upgrade to Premium without downtime.
","High",,"Preview","Active","arg"
"Enhanced disaster recovery & read scalability",,"Learn More","https://learn.microsoft.com/en-us/azure/azure-sql/database/active-geo-replication-overview","False","74c2491d-048b-0041-a140-935960220e20","arg","Use Active Geo Replication to Create a Readable Secondary in Another Region","False","Disaster Recovery","Microsoft.Sql/servers","If your primary database fails, perform a manual failover to the secondary database which remains read-only until then. Active geo-replication allows creating readable replicas and manual failover in case of a datacenter outage or application upgrade.
","High",,"Preview","Active","arg"
"Improves load balancing & disaster recovery",,"Learn More","https://learn.microsoft.com/en-us/azure/azure-sql/database/auto-failover-group-overview?tabs=azure-powershell","False","943c168a-2ec2-a94c-8015-85732a1b4859","arg","Auto Failover Groups for apps should include all related databases for cohesion","False","Disaster Recovery","Microsoft.Sql/servers","You can use the readable secondary databases to offload read-only query workloads. Autofailover groups involve multiple databases configured on a primary server, supporting replication of all databases in the group to only one secondary server or instance in a different region.
","High",,"Preview","Active","arg"
"Enhanced reliability, no extra cost",,"Learn More","https://learn.microsoft.com/en-us/azure/azure-sql/database/high-availability-sla","False","c0085c32-84c0-c247-bfa9-e70977cbf108","arg","Use a Zone-Redundant Database","False","High Availability","Microsoft.Sql/servers","By default, the premium availability model clusters nodes in one datacenter.
","Medium",,"Preview","Active","none"
"Enhanced connectivity stability",,"Learn More","https://learn.microsoft.com/en-us/azure/azure-sql/database/troubleshoot-common-connectivity-issues","False","cbb17a29-64fb-c943-95d0-8df814a37c40","no","Implement Retry Logic","False","High Availability","Microsoft.Sql/servers","Azure SQL Database, known for its resilience to infrastructure failures, can occasionally encounter connectivity issues due to transient errors. Implementing retry logic in your code ensures continued operation by reattempting failed calls, maintaining smooth database interaction.
","High",,"Preview","Active","none"
"Quick incident detection & response",,"Learn More","https://learn.microsoft.com/en-us/azure/azure-monitor/insights/azure-sql#analyze-data-and-create-alerts","False","7e7daec9-6a81-3546-a4cc-9aef72fec1f7","arg","Monitor your Azure SQL Database in Near Real-Time to Detect Reliability Incidents","False","Monitoring and Alerting","Microsoft.Sql/servers","Use available solutions to monitor SQL Database to detect reliability incidents early, making your databases more reliable. Opt for near real-time monitoring to rapidly react to incidents.
","High",,"Preview","Active","arg"
"Enhanced security & data recovery",,"Learn More","https://learn.microsoft.com/en-us/azure/key-vault/general/overview","False","d6ef87aa-574e-584e-a955-3e6bb8b5425b","no","Back Up Your Keys","False","Disaster Recovery","Microsoft.Sql/servers","It is highly recommended to use Azure Key Vault to store encryption keys for Always Encrypted configurations. Though not mandatory, if not using AKV, ensure keys are properly backed up.
","Medium",,"Preview","Active","none"
"High availability & durability for storage",,"Learn More","https://learn.microsoft.com/azure/storage/common/storage-redundancy","False","e6c7e1cc-2f47-264d-aa50-1da421314472","arg","Ensure that storage accounts are zone or region redundant","False","High Availability","Microsoft.Storage/storageAccounts","Redundancy ensures storage accounts meet availability and durability targets amidst failures, weighing lower costs against higher availability. Locally redundant storage offers the least durability at the lowest cost.
","High",,"Verified","Active","arg"
"Avoids service retirement issues",,"Learn More","https://azure.microsoft.com/updates/classic-azure-storage-accounts-will-be-retired-on-31-august-2024/","False","63ad027e-611c-294b-acc5-8e3234db9a40","arg","Do not use classic storage accounts","False","Service Upgrade and Retirement","Microsoft.Storage/storageAccounts","Classic storage accounts will be fully retired on August 31, 2024. If you have classic storage accounts, start planning your migration now.
","High",,"Verified","Active","arg"
"Optimized cost & performance",,"Learn More","https://learn.microsoft.com/azure/storage/common/storage-account-overview#types-of-storage-accounts","False","5587ef77-7a05-a74d-9c6e-449547a12f27","no","Ensure Performance tier is set as per workload","False","Scalability","Microsoft.Storage/storageAccounts","Consider using the appropriate storage performance tier for workload scenarios. Each workload scenario requires appropriate performance tiers, and selecting the appropriate tiers based on storage usage is crucial.
","Medium",,"Verified","Active","none"
"Prevents accidental data/account loss",,"Learn More","https://learn.microsoft.com//azure/storage/blobs/soft-delete-blob-enable?tabs=azure-portal ","False","03263c57-c869-3841-9e0a-3dbb9ef3e28d","no","Enable soft delete for recovery of data","False","Disaster Recovery","Microsoft.Storage/storageAccounts","The soft delete option enables data recovery if mistakenly deleted, while the Lock feature prevents the accidental deletion of the storage account itself, ensuring additional security and data integrity measures.
","Medium",,"Verified","Active","none"
"Recover data, manage latency",,"Learn More","https://learn.microsoft.com/azure/storage/blobs/versioning-overview ","False","8ebda7c0-e0e1-ed45-af59-2d7ea9a1c05d","no","Enable versioning for accidental modification and keep the number of versions below 1000","False","Disaster Recovery","Microsoft.Storage/storageAccounts","Consider enabling versioning for Azure Storage Accounts to recover from accidental modifications or deletions and manage blob operation latency. Microsoft advises maintaining fewer than 1000 versions per blob to optimize performance. Lifecycle management can help delete old versions automatically.
","Low",,"Verified","Active","none"
"Protects data from loss/corruption",,"Learn More","https://learn.microsoft.com/azure/storage/blobs/point-in-time-restore-overview","False","1b965cb9-7629-214e-b682-6bf6e450a100","no","Enable point-in-time restore for GPv2 accounts to safeguard against data loss","False","Disaster Recovery","Microsoft.Storage/storageAccounts","Consider enabling point-in-time restore for standard general purpose v2 accounts with flat namespace to protect against accidental deletion or corruption by restoring block blob data to an earlier state.
","Low",,"Verified","Active","none"
"Enhanced alerting & log analysis",,"Learn More","https://learn.microsoft.com/azure/storage/blobs/monitor-blob-storage","False","96cb8331-6b06-8242-8ce8-4e2f665dc679","no","Monitor all blob storage accounts","False","Monitoring and Alerting","Microsoft.Storage/storageAccounts","For critical applications and business processes relying on Azure, monitoring and alerts are crucial. Resource logs are only stored after creating a diagnostic setting to route logs to specified locations, requiring selection of log categories to collect.
","Low",,"Verified","Active","none"
"Latest features, lowest cost",,"Learn More","https://learn.microsoft.com/azure/storage/common/storage-account-overview#legacy-storage-account-types","False","2ad78dec-5a4d-4a30-8fd1-8584335ad781","arg","Consider upgrading legacy storage accounts to v2 storage accounts","False","Scalability","Microsoft.Storage/storageAccounts","General-purpose v2 accounts are recommended for most storage scenarios offering the latest features or the lowest per-gigabyte pricing. Legacy accounts like Standard general-purpose v1 and Blob Storage aren't advised by Microsoft but may fit specific scenarios.
","Low",,"Verified","Active","arg"
"Avoids hitting limit, ensures reliability",,"Learn More","https://docs.citrix.com/en-us/citrix-daas-azure/limits","False","c041d596-6c97-4c5f-b4b3-9cd37628f2e2","arg","Do not create more than 2000 Citrix VDA servers per subscription","False","Governance","Microsoft.Subscription/Subscriptions","A Citrix Managed Azure subscription supports VMs with VDA for app/desktop delivery, excluding other machines like Cloud Connectors. When close to the limit, signaled by a dashboard notification, and with sufficient licenses, request another subscription. Can't exceed the given limits for catalogs. 
","High",,"Verified","Active","arg"
"More memory, supports >2TB disks, faster boot",,"Learn More","https://learn.microsoft.com/en-us/azure/virtual-machines/generation-2#features-and-capabilities","False","19b6df57-f6b5-3e4f-843a-273daa087cb0","no","Use Generation 2 virtual machine source image","False","High Availability","Microsoft.VirtualMachineImages/imageTemplates","When building Image Templates, use sources for gen 2 VMs. Gen 2 offers more memory, supports >2TB disks, uses UEFI for faster boot/installation, has Intel SGX, and virtualized persistent memory (vPMEM), unlike gen 1's BIOS-based architecture.
","Low",,"Verified","Active","none"
"Enhances disaster recovery capability",,"Learn More","https://learn.microsoft.com/en-us/azure/reliability/reliability-image-builder?toc=%2Fazure%2Fvirtual-machines%2Ftoc.json&bc=%2Fazure%2Fvirtual-machines%2Fbreadcrumb%2Ftoc.json#capacity-and-proactive-disaster-recovery-resiliency","False","21fb841b-ba70-1f4e-a460-1f72fb41aa51","arg","Replicate your Image Templates to a secondary region","False","Disaster Recovery","Microsoft.VirtualMachineImages/imageTemplates","The Azure Image Builder service, used for deploying Image Templates, lacks availability zones support. By replicating Image Templates to a secondary, preferably paired, region, quick recovery from a region failure is enabled, ensuring continuous virtual machine deployment from these templates.
","Low",,"Verified","Active","arg"
"Enhances app resiliency & reliability",,"Learn More","https://learn.microsoft.com/en-us/azure/reliability/migrate-app-service","False","88cb90c2-3b99-814b-9820-821a63f600dd","arg","Migrate App Service to availability Zone Support","False","High Availability","Microsoft.Web/serverFarms","Azure's feature of deploying App Service plans across availability zones enhances resiliency and reliability by ensuring operation during datacenter failures, providing redundancy without needing different regions, thus minimizing downtime and maintaining uninterrupted services.
","High",,"Preview","Active","arg"
"Enhanced scaling & reliability",,"Learn More","https://learn.microsoft.com/en-us/azure/architecture/checklist/resiliency-per-service#app-service","False","b2113023-a553-2e41-9789-597e2fb54c31","arg","Use Standard or Premium tier","False","High Availability","Microsoft.Web/serverFarms","Choose Standard/Premium Azure App Service Plan for robust apps with advanced scaling, high availability, better performance, and multiple slots, ensuring resilience and continuous operation.
","High",,"Preview","Active","arg"
"Minimizes restarts, enhances stability",,"Learn More","https://learn.microsoft.com/en-us/azure/architecture/checklist/resiliency-per-service#app-service","False","07243659-4643-d44c-a1c6-07ac21635072","arg","Avoid scaling up or down","False","Scalability","Microsoft.Web/serverFarms","Avoid frequent scaling up/down of Azure App Service instances to prevent service disruptions. Choose the right tier and size for the workload and scale out for traffic changes, as scaling adjustments can trigger application restarts.
","Medium",,"Preview","Active","arg"
"Protects prod performance; avoids test impact",,"Learn More","https://learn.microsoft.com/en-us/azure/architecture/checklist/resiliency-per-service#app-service","False","dbe3fd66-fb2a-9d46-b162-1791e21da236","no","Create separate App Service plans for production and test","False","Governance","Microsoft.Web/serverFarms","It is strongly recommended to create separate App Service plans for production and test environments to avoid using slots within your production deployment for testing purposes.
","High",,"Preview","Active","none"
"Optimizes resources for traffic",,"Learn More","https://learn.microsoft.com/en-us/azure/app-service/manage-automatic-scaling?tabs=azure-portal","False","6320abf6-f917-1843-b2ae-4779c35985ae","no","Enable Autoscale/Automatic scaling to ensure adequate resources are available to service requests","False","Scalability","Microsoft.Web/serverFarms","Enabling Autoscale/Automatic Scaling for your Azure App Service ensures sufficient resources for incoming requests. Autoscaling is rule-based, whereas Automatic Scaling, a newer feature, automatically adjusts resources based on HTTP traffic.
","Medium",,"Preview","Active","none"
"Enhanced monitoring & diagnostics",,"Learn More","https://learn.microsoft.com/azure/app-service/troubleshoot-diagnostic-logs","False","493f6079-3bb6-4a56-96ba-ab3248474cb1","no","Enable diagnostics logging","False","Monitoring and Alerting","Microsoft.Web/sites","Enabling diagnostics logging for your Azure App Service is crucial for monitoring and diagnostics, including both application logging and web server logging.
","Low",,"Preview","Active","none"
"Real-time insights & issue diagnosis",,"Learn More","https://learn.microsoft.com/azure/application-insights/app-insights-overview","False","a7e8bb3d-8ceb-442d-b26f-007cd63f9ffc","no","Monitor Performance","False","Monitoring and Alerting","Microsoft.Web/sites","Use Application Insights to monitor app performance and load behavior, offering real-time insights, issue diagnosis, and root-cause analysis. It supports ASP.NET, ASP.NET Core, Java, and Node.js on Azure App Service, now with built-in monitoring.
","Medium",,"Preview","Active","none"
"Independent scaling, easier management",,"Learn More","https://learn.microsoft.com/azure/architecture/checklist/resiliency-per-service#app-service","False","78a5c033-ff51-4332-8a71-83464c34494b","no","Separate web apps from web APIs","False","Scalability","Microsoft.Web/sites","If your solution includes both a web front end and a web API, decomposing them into separate App Service apps facilitates solution decomposition by workload, allowing for independent scaling. Initially, you can deploy both in the same plan and separate them for independent scaling when necessary.
","Low",,"Preview","Active","none"
"Improves app performance",,"Learn More","https://learn.microsoft.com/azure/architecture/checklist/resiliency-per-service#app-service","False","3f9ddb59-0bb3-4acb-9c9b-99aa1776f0ab","no","Create a separate storage account for logs","False","Scalability","Microsoft.Web/sites","Creating a separate storage account for logs and not using the same one for application data prevents logging activities from reducing application performance by ensuring that the resources dedicated to handling application data are not burdened by logging processes.
","Medium",,"Preview","Active","none"
"Safer updates & easy rollback",,"Learn More","https://learn.microsoft.com/azure/app-service-web/web-sites-staged-publishing","False","a1d91661-32d4-430b-b3b6-5adeb0975df7","arg","Deploy to a staging slot","False","Governance","Microsoft.Web/sites","Create a deployment slot for staging to deploy updates, verify them, and ensure all instances are warmed up before production swap, reducing bad update chances. An LKG slot allows easy rollback to a previous good deployment if issues arise later, enhancing reliability.
","Medium",,"Preview","Active","arg"
"Enhanced reliability via automation",,"Learn More","https://learn.microsoft.com/azure/app-service-web/web-sites-configure","False","0b80b67c-afbe-4988-ad58-a85a146b681e","arg","Store configuration as app settings","False","Other Best Practices","Microsoft.Web/sites","Use app settings for configuration and define them in Resource Manager templates or via PowerShell to facilitate part of an automated deployment/update process for improved reliability.
","Medium",,"Preview","Active","arg"
"Enhances job metadata availability",,"Learn More","https://learn.microsoft.com/en-us/powershell/high-performance-computing/hpcpack-ha-cloud?view=hpc19-ps#hpc-pack-cluster-shares","False","4c78fab4-845a-495d-ab14-3ad51de53a2a","no","Ensure File shares that stores jobs metadata are accessible from all head nodes","False","High Availability","n/a","Currently in all HPC Pack ARM templates we create the cluster share on one of the head node which is not highly available. 
","High",,"Preview","Active","none"
"Efficient, uninterrupted execution",,"Learn More","https://learn.microsoft.com/en-us/powershell/high-performance-computing/hpcpack-auto-grow-shrink?view=hpc19-ps","False","b02b5a0e-3770-44da-a099-5dd4d9f8cd70","no","Automatically grow and shrink HPC Pack cluster resources","False","Scalability","n/a","By deploying Azure ""burst"" nodes (both Windows and Linux) in your HPC Pack cluster or creating your HPC Pack cluster in Azure, you can automatically grow or shrink the cluster's resources such as nodes or cores according to the workload on the cluster. 
","Medium",,"Preview","Active","none"
"Enhanced reliability for HPC",,"Learn More","https://learn.microsoft.com/en-us/powershell/high-performance-computing/hpcpack-ha-cloud?view=hpc19-ps#dealing-with-head-node-failure","False","a48b1be6-77a3-4e3c-8205-dda2ba010a99","no","Use multiple head nodes for HPC Pack","False","High Availability","n/a","Establish a cluster with a minimum of two head nodes. In the event of a head node failure, the active HPC Service will be automatically transferred from the affected head node to another functioning one.
","Medium",,"Preview","Active","none"
"Enhanced reliability & job management",,"Learn More","https://learn.microsoft.com/en-us/powershell/high-performance-computing/hpcpack-ha-cloud?view=hpc19-ps#dealing-with-ad-failure","False","37eec891-7880-4759-b597-7cd925512fe3","no","Use HPC Pack Azure AD Integration or other highly available AD configuration","False","High Availability","n/a","When HPC failed to connect to the Domain controller, admin and user will not be able to connect to the HPC Service thus not able to manage and submit jobs to the cluster. 
","High",,"Preview","Active","none"
"High availability for SAP systems",,"Learn More","https://github.com/Azure/SAP-on-Azure-Scripts-and-Utilities/tree/main/Move-VM-from-AvSet-to-AvZone/Move-Regional-SAP-HA-To-Zonal-SAP-HA-WhitePaper","False","a9b649a5-2bfe-40ca-9b8f-34f9c71dfa12","no","Ensure that each SAP production system is designed for high availability across availability zones","False","High Availability","n/a","Azure Availability Zones are physically separate locations within each Azure region that are tolerant to local failures. Use availability zones to protect your applications and data against unlikely data center failures. Ensure each single point of failure of each SAP production system is protected with high availability using multiple availability zones. If you cannot deploy across different zones in a region, then  refer to Microsoft guidance for High availability deployment options for SAP workload.
","High",,"Verified","Active","none"
"Enhanced HA for SAP ASCS",,"Learn More","https://docs.microsoft.com/en-us/azure/advisor/advisor-reference-reliability-recommendations","False","5c2e52d0-25be-4b1c-833c-b98b5ef1a26b","no","ASCS-LB (Central Server Instance) Ensure the load balancer is configured correctly for SAP ASCS High availability","False","High Availability","n/a","For the ASCS-LB (Central Server Instance), ensure that the load balancer is configured correctly for SAP ASCS high availability.
","High",,"Verified","Active","none"
"Enhances SAP ASCS uptime",,"Learn More","https://learn.microsoft.com/en-us/azure/sap/center-sap-solutions/get-quality-checks-insights","False","9d8f6678-694c-4da4-8384-415201f65194","no","ASCS-Pacemaker (Central Server Instance) Ensure Pacemaker cluster has been setup for SAP ASCS high availability","False","High Availability","n/a","For the ASCS-Pacemaker (Central Server Instance), ensure that the Pacemaker cluster configuration parameters are correctly set up for SAP ASCS high availability.
","High",,"Verified","Active","none"
"Proactive maintenance awareness",,"Learn More","https://learn.microsoft.com/en-us/azure/virtual-machines/linux/scheduled-events","False","6b589ce6-c847-4cee-af35-f6e8eb1cf983","no","Configure scheduled events notification","False","Monitoring and Alerting","n/a","Scheduled events is an Azure Metadata Services that provides proactive notifications about upcoming maintenance events (for example, reboot) so that your application can prepare for them and limit disruption. You should configure scheduled events for all your critical Azure VMs.


Resource agent azure-events-az can also integrate with Pacemaker clusters.

To ensure high availability and service continuity in your Azure VMs, you should configure the azure-events-az resource agent within your Pacemaker clusters. This agent monitors for scheduled Azure maintenance events and can proactively relocate resources for a graceful node shutdown. Configure the agent to monitor specific event types such as Reboot and Redeploy, and enable verbose logging for detailed diagnostics.



In addition, it is also important that you define a procedure on how to react to scheduled events.
","High",,"Verified","Active","none"
"Improved DR oversight & rapid issue response",,"Learn More","https://learn.microsoft.com/en-us/azure/sap/center-sap-solutions/get-quality-checks-insights","False","c27134b7-6917-4852-8276-3dbef5c71578","no","Ensure there is a robust monitoring and alerting solution in place for the entire DR solution","False","Disaster Recovery","n/a","For an SAP solution hosted on Azure it is imperative to implement a robust monitoring and alerting solution that comprehensively covers DR of each layer of the SAP architecture. Given the complexity of SAP systems, which span multiple layers using diverse technologies and Azure resources, each with potentially distinct DR replication mechanisms, an appropriate monitoring strategy is crucial. The different layers include database, central services, application, and shared file systems.
","Medium",,"Verified","Active","none"
"Ensures robust DR, meets RPO/RTO",,"Learn More","https://learn.microsoft.com/en-us/azure/sap/center-sap-solutions/get-quality-checks-insights","False","c300e949-528d-4ac9-889b-cacf8b4a6e90","no","Document and test DR procedure ensure it meets RPO and RTO targets","False","Disaster Recovery","n/a","Create detailed documentation of your DR procedures for each layer of the SAP architecture-database, central services, application servers, and shared file systems. This documentation should include configuration details, failover mechanisms, and step-by-step recovery procedures.

Test a wide range of failure scenarios, including regional outages. Testing should confirm that your DR strategy is robust, meets your RPO and RTO targets, and provides seamless failover across all layers of the SAP architecture. This will ensure a comprehensive and resilient DR strategy capable of withstanding regional failures and ensuring business continuity.
","Medium",,"Verified","Active","none"
"Faster SAP recovery, reduced downtime",,"Learn More","https://learn.microsoft.com/en-us/azure/sap/center-sap-solutions/get-quality-checks-insights","False","0fabc52e-cdbb-4acd-8626-c4c637061e2d","no","Automate DR infrastructure build or pre-deploy DR resources","False","Disaster Recovery","n/a","Automate the build of disaster recovery (DR) infrastructure (or pre-deploy DR resources) and streamline SAP service recovery as much as possible.
","Medium",,"Verified","Active","none"
"Enhances SAP DR oversight",,"Learn More","https://learn.microsoft.com/en-us/azure/sap/center-sap-solutions/get-quality-checks-insights","False","ee4dc309-00a1-49fe-92fa-1724baf5f103","no","SAP shared files systems are replicated or backed up to DR location","False","Disaster Recovery","n/a","Implementing robust monitoring and alerting for DR in SAP on Azure ensures coverage across its complex, multi-layer architecture. This strategy is crucial for databases, services, applications, and shared systems.
","High",,"Verified","Active","none"
"Enhances SAP HANA DB uptime",,"Learn More","https://docs.microsoft.com/en-us/azure/advisor/advisor-reference-reliability-recommendations","False","6648fe61-880d-4a96-8d2d-190a23d5580b","no","DBHANA-Pacemaker (Database Instance) Ensure the Pacemaker cluster has been setup for SAP HANA DB high availability","False","High Availability","n/a","For the DBHANA-Pacemaker (Database Instance), ensure that the Pacemaker cluster configuration parameters are correctly set up for SAP HANA DB high availability.
","High",,"Verified","Active","none"
"Ensures SAP data safety & recovery",,"Learn More","https://learn.microsoft.com/en-us/azure/sap/center-sap-solutions/get-quality-checks-insights","False","41f0d88e-7866-4444-aac4-ef5fee3e6874","no","SAP components are backed up to DR location using an appropriate backup tool or ASR","False","Disaster Recovery","n/a","SAP components such as (A)SCS, application servers, WebDispatchers, etc are backed up to DR location using an appropriate backup tool or ASR.
","High",,"Verified","Active","none"
"Guarantees DR region availability",,"Learn More","https://learn.microsoft.com/en-us/azure/virtual-machines/capacity-reservation-overview","False","820b4c0c-8a74-442a-8ba7-b0cb840cd983","no","Secure compute resource capacity for critical VM roles in DR region","False","Disaster Recovery","n/a","To ensure the availability of compute resources for critical VM roles in a DR region, consider securing capacity either through a warm standby approach or by utilizing Azure's On-demand Capacity Reservation.

Warm standby involves keeping VMs in the DR region running. On-demand Capacity Reservation, on the other hand, reserves compute capacity without having to run the VMs, allowing you to start them when needed. When DR VMs are not needed, the reserved capacity may safely be used to run other workloads without the risk of losing the capacity to other customers. This strategy guarantees resource availability for your critical workloads in the event of a disaster, balancing cost and readiness.
","Medium",,"Verified","Active","none"
"Enhanced maintenance and failover handling",,"Learn More","https://learn.microsoft.com/en-us/azure/sap/center-sap-solutions/get-quality-checks-insights","False","1b8a3051-dfd4-4780-bfb7-446296774029","no","Remove unwanted location constraints from Linux Pacemaker clusters","False","High Availability","n/a","When executing a migrate command in a Linux Pacemaker cluster, the system generates a temporary ""prefer"" location constraint, aiming to move a resource to a specified node. This constraint prioritizes the target node for the resource temporarily without permanently altering the cluster�s configuration.

During planned maintenances and fail over testing, you can leverage the migrate command for temporary resource relocation during maintenance or administrative tasks to ensure minimal disruption. This constraint is not permanent and does not survive reboots or cluster resets. It's designed for short-term adjustments.

Once the planned task necessitating the resource migration is complete, manually remove the temporary constraint to revert to the cluster's original resource management policies.
This approach allows for controlled resource movement within the cluster, facilitating maintenance while preserving the integrity and efficiency of the cluster's configuration.
","High",,"Verified","Active","none"
"Ensures SAP Azure's failover reliability",,"Learn More","https://learn.microsoft.com/en-us/azure/sap/center-sap-solutions/get-quality-checks-insights","False","5663a808-56be-49ea-8d5c-c5dfc6925f76","no","Test high availability solutions thoroughly to ensure fail overs work as expected","False","High Availability","n/a","Test all high availability solutions thoroughly (including kernel panic in Linux VMs and also fail-back). Include zonal failure scenarios in your testing, the testing should confirm that each layer of your SAP solution including database, central services, application servers and shared file systems is configured correctly for zone redundancy, the solution meets RPO = 0 and the application fails over automatically meeting your RTO.
The fail back can be either automatic or manual.
","High",,"Verified","Active","none"
"Enhanced data availability for SAP",,"Learn More","https://learn.microsoft.com/en-us/azure/sap/center-sap-solutions/get-quality-checks-insights","False","e09ca960-20b7-4831-b85b-83ec84c1390e","no","Ensure that SAP shared file systems are designed for high availability and when possible using availability zones","False","High Availability","n/a","SAP shared file systems such as /sapmnt, /usr/trans, interfaces should be made highly available.
In case of Azure File Shares, we recommend that you use ZRS (Zone-redundant storage) and for Azure NetApp Files use Zonal replication for your volumes.
","High",,"Verified","Active","none"
"Ensures high availability for SAP data",,"Learn More","https://learn.microsoft.com/en-us/azure/sap/center-sap-solutions/get-quality-checks-insights","False","094400a5-f112-408d-a334-afd68873ff0f","no","Ensure that the data is replicated synchronously (SYNC mode) between the primary and secondary database hosting VM nodes","False","High Availability","n/a","High availability for databases should be implemented using database native replication technologies and the data should be replicated synchronously that is in SYNC mode from primary database to a stand-by node.
","High",,"Verified","Active","none"
"Higher SLA of 99.9% with SSDs",,"Learn More","https://www.azure.cn/en-us/support/sla/virtual-machines/","False","b60ae773-9917-4bca-8a42-7cb45365a917","no","If using single-instance VMs all OS and data disks must be Premium SSD or Ultra Disk","False","High Availability","n/a","For single-instance VMs, both OS and data disks must be either Premium SSD or Ultra Disk to achieve the single-instance SLA of 99.9% availability.
","High",,"Verified","Active","none"
"Enhanced resiliency for SAP on Azure",,"Learn More","https://learn.microsoft.com/en-us/azure/sap/workloads/virtual-machine-scale-set-sap-deployment-guide","False","49bd34ab-d117-4b0e-99f8-34cc8a5394bc","no","Run SAP application servers on two or more VMs using VMSS Flex","False","High Availability","n/a","Use Virtual Machines Scale Set (VMSS) with flexible orchestration to distribute the virtual machines across specified zones and within each zone to also distribute VMs across different fault domains within the zone on a best effort basis. Configure VMSS Flex following Microsoft recommendation for SAP workload using the right mode and correct settings. If you aren't currently using VMSS Flex for SAP application servers and also not using Availability Sets with Fault domain & Update domain distribution, then you should consider moving to VMSS Flex architecture to improve the resiliency posture of your SAP deployment. The following blog post in links below outlines the details on the process of migrating existing SAP workloads that are deployed in an availability set or availability zone to a flexible scale set with FD=1 deployment option.
","High",,"Verified","Active","none"
"Enhanced DR resilience",,"Learn More","https://learn.microsoft.com/en-us/azure/sap/center-sap-solutions/get-quality-checks-insights","False","fb8bdcee-d88f-408d-8572-a76a4aaa733b","no","Ensure that the production databases are replicated (ASYNC) to DR location using the database vendor's replication technology","False","Disaster Recovery","n/a","Replicate production databases (ASYNC) to the DR location using the database vendor�s replication technology.
","High",,"Verified","Active","none"
"Enhanced DB availability",,"Learn More","https://docs.microsoft.com/en-us/azure/advisor/advisor-reference-reliability-recommendations","False","2e4c2171-a83f-4238-a8e3-b51c90d86a99","no","DBHANA-LB (Database Instance) Ensure the load balancer is configured correctly for SAP HANA DB High availability","False","High Availability","n/a","For the DBHANA-LB (Database Instance), make sure the load balancer is configured correctly for SAP HANA DB high availability.
","High",,"Verified","Active","none"
"Enhances reliability & communication",,"Learn More","https://learn.microsoft.com/azure/well-architected/resiliency/business-metrics#workload-availability-targets","False","0c8a12dd-52fb-cf40-bb4a-b60f99409bab","No","Define and share Availability Targets with all teams for workload consistency","False","High Availability","n/a","Ensure the Availability Targets (SLA, SLO, SLI) are well defined, tested, monitored and communicated across teams working on the Workload. A Service Level Agreement (SLA) is an availability target that represents a commitment around performance and availability of the application. Understanding the SLA of individual components within the system is essential to define reliability targets. Knowing the SLA of dependencies will also provide a justification for additional spend when making the dependencies highly available and with proper support contracts. Availability targets for any dependencies leveraged by the application should be understood and ideally align with application targets should also be considered. Understanding your availability expectations is vital to reviewing overall operations for the application. For example, if you are striving to achieve an application Service Level Objective (SLO) of 99.999%, the level of inherent operational action required by the application is going to be far greater than if an SLO of 99.9% was the goal.
","High",,"Verified","Active","none"
